invoice_id,date,provider,category,product,quantity,unit_price,cost,revenue,spend
INV-1001,2026-01-05,Acme Supplies,Office,Laptops,10,950,7600,9500,7600
INV-1002,2026-01-11,Global Parts,Hardware,Monitors,25,180,3200,4500,3200
INV-1003,2026-01-19,Northwind Traders,Software,ERP Licenses,40,120,2800,4800,2800
INV-1004,2026-02-03,Acme Supplies,Office,Keyboards,60,35,1300,2100,1300
INV-1005,2026-02-14,Contoso Logistics,Logistics,Freight,1,5200,5200,6500,5200
INV-1006,2026-02-21,Global Parts,Hardware,Docking Stations,30,145,3000,4350,3000
INV-1007,2026-03-02,Northwind Traders,Software,Analytics Licenses,35,160,3500,5600,3500
INV-1008,2026-03-15,Acme Supplies,Office,Office Chairs,45,110,3600,4950,3600
INV-1009,2026-03-27,Contoso Logistics,Logistics,Warehousing,1,4100,4100,5100,4100
INV-1010,2026-04-08,Global Parts,Hardware,Servers,6,2400,10800,14400,10800
INV-1011,2026-04-18,Northwind Traders,Software,Security Licenses,50,90,2700,4500,2700
INV-1012,2026-04-29,Acme Supplies,Office,Printers,8,420,2500,3360,2500
INV-1013,2026-05-06,Contoso Logistics,Logistics,Express Freight,1,6300,6300,7600,6300
INV-1014,2026-05-17,Global Parts,Hardware,Tablets,20,480,7600,9600,7600
INV-1015,2026-05-28,Northwind Traders,Software,Cloud Seats,80,55,2800,4400,2800
INV-1016,2026-06-04,Acme Supplies,Office,Headsets,70,65,3000,4550,3000
INV-1017,2026-06-09,Contoso Logistics,Logistics,Distribution,1,4700,4700,5900,4700
INV-1018,2026-06-12,Global Parts,Hardware,Network Switches,12,780,6900,9360,6900
